PLOT	Overall_flowers	ROF_Abundance	TVU_Abundance	TVUF_Abundance	TVUH_Abundance	Other_Flowers_Abundance	Flower_Richness	Pollinator_Richness	Wild_Abundance	Wild_Visit_Rate	Honeybee_Abundance	Honeybee_Visit_Rate	Honeybee_Visit_Rate_ROF	Wild_Visit_Rate_ROF	Honeybee_Visit_Rate_TVU	Wild_Visit_Rate_TVU	T_Max	Honeybees_ROF	Wild_ROF	Honeybees_TVU	Wild_TVU	Honeybees_OTHERS	Honeybees_OTHERS_rate	Wild_OTHERS	Wild_OTHERS_rate	ROF_nectar	TVU_nectar	ROF_pollen	TVU_pollen
23	25047	18051	6901	4913.00	1988.00	95	8	8	9	0.35932447	94	3.75	5.15	0.28	0.14	0.58	22	93	5	1	4	0	0	0	0	4386.39	158.72	16462.51	318.08
24	23784.4	19250.4	2540	1815.00	725.00	1994	10	18	43	1.807907704	185	7.78	9.56	0.99	0.39	1.97	31	184	19	1	5	0	0	19	9.53	4677.85	58.42	17556.36	116.00
25	8372.3	7191.5	956.8	809.80	147.00	224	5	7	6	0.71664895	60	3.92	7.93	0.7	2.09	0	18	57	5	2	0	1	0.14	1	0.14	1747.53	22.01	6558.65	23.52
26	4296.2	1186	3055.2	2219.60	835.60	55	3	7	8	1.862110702	3	0.7	1.69	3.37	0.33	1.31	19	2	4	1	4	0	0	0	0	288.20	70.27	1081.63	133.70
27	17214.3	6043	10589.3	4140.40	6448.90	582	7	5	5	0.29045619	13	0.76	1.82	0.17	0.19	0.19	18	11	1	2	2	0	0	2	3.44	1468.45	243.55	5511.22	1031.82
28	10251	979.3	8995.7	6776.50	2219.20	276	8	8	8	0.780411667	6	0.59	1.02	2.04	0.56	0.44	19	1	2	5	4	0	0	2	7.25	237.97	206.90	893.12	355.07
29	54367.9	1	53639.9	29478.20	24161.70	727	12	13	27	0.49661657	32	0.59	0	0	0.6	0.22	20	0	0	32	12	0	0	15	20.63	0.00	1233.72	0.91	3865.87
30	28033.5	13708.8	13529.7	10460.30	3069.40	795	10	17	23	0.820446965	75	2.68	5.11	0.51	0.37	0.67	23	70	7	5	9	0	0	7	8.81	3331.24	311.18	12502.43	491.10
31	11922	3051.2	8833.8	3906.80	4927.00	37	6	12	26	2.180842141	36	3.02	7.87	6.88	1.36	0.45	22	24	21	12	4	0	0	1	27.03	741.44	203.18	2782.69	788.32
32	46948.2	13518.5	33221.7	18496.00	14725.70	208	8	15	17	0.362101209	106	2.26	4.88	0.3	1.11	0.27	24	66	4	37	9	3	14.42	4	19.23	3285.00	764.10	12328.87	2356.11
33	21162.9	4268.7	16757.2	15152.20	1605.00	137	8	13	23	1.086807574	58	2.74	7.96	0.47	1.19	0.42	22	34	2	20	7	4	29.2	14	102.19	1037.29	385.42	3893.05	256.80
34	13819.9	792.8	12628.1	6383.30	6244.80	399	9	24	35	2.532579831	21	1.52	1.26	5.05	1.58	1.58	24	1	4	20	20	0	0	11	27.57	192.65	290.45	723.03	999.17
35	5317.3	726	4125.3	3273.30	852.00	466	11	17	21	3.949372802	3	0.56	0	1.38	0.73	1.94	20	0	1	3	8	0	0	12	25.75	176.42	94.88	662.11	136.32
36	112769.3	1429	111278.3	74729.60	36548.70	62	5	14	35	0.310368159	138	1.22	7.7	2.8	1.14	0.28	19.03251648	11	4	127	31	0	0	0	0	347.25	2559.40	1303.25	5847.79
37	55713.8	1780	52607.8	28004.40	24603.40	1326	12	26	67	1.202574587	81	1.45	7.3	4.49	1.22	0.44	20	13	8	64	23	4	3.02	36	27.15	432.54	1209.98	1623.36	3936.54
38	48125.6	3323.7	44403.9	10315.00	34088.90	398	12	28	60	1.246737703	83	1.72	6.32	1.5	1.35	1.04	24	21	5	60	46	2	5.03	9	22.61	807.66	1021.29	3031.21	5454.22
39	26215.9	5271.4	20843.5	12680.10	8163.40	101	6	9	19	0.72475101	23	0.88	1.52	0.95	0.62	0.1	19.03251648	8	5	13	2	2	19.8	12	118.81	1280.95	479.40	4807.52	1306.14
40	7419.2	3740	3600.2	2429.20	1171.00	79	5	8	9	1.213068794	13	1.75	3.48	1.34	0	1.11	17	13	5	0	4	0	0	0	0	908.82	82.80	3410.88	187.36
