Plot	Species	Individu	Mostra	TVU	ROF	OTHERS	TOTAL
4	TVUH	10	2	8	0	3	11
5	ROF	1	1	0	8	0	8
5	ROF	1	2	0	14	0	15
5	ROF	2	1	0	0	0	0
5	ROF	2	2	0	8	0	8
5	ROF	3	1	0	1	0	1
5	ROF	3	2	0	0	0	0
5	ROF	4	1	0	3	0	3
5	ROF	4	2	0	5	0	5
5	ROF	5	1	0	4	0	4
5	ROF	5	2	0	0	0	0
5	ROF	6	1	0	18	0	18
5	ROF	6	2	0	4	0	4
5	ROF	7	1	0	3	0	3
5	ROF	7	2	0	6	0	6
5	ROF	8	1	0	21	0	21
5	ROF	8	2	0	31	0	31
5	ROF	9	1	0	0	0	0
5	ROF	9	2	0	2	0	2
5	ROF	10	1	0	3	0	3
5	ROF	10	2	0	4	5	9
5	TVUF	1	1	10	1	0	11
5	TVUF	1	2	2	0	0	2
5	TVUF	2	1	10	0	0	10
5	TVUF	2	2	0	0	0	0
5	TVUF	3	1	1	0	0	1
5	TVUF	3	2	5	0	0	5
5	TVUF	4	1	9	0	0	9
5	TVUF	4	2	2	0	0	2
5	TVUF	5	1	8	0	0	8
5	TVUF	5	2	NA	NA	NA	NA
5	TVUF	6	1	NA	NA	NA	NA
5	TVUF	6	2	NA	NA	NA	NA
5	TVUF	7	1	NA	NA	NA	NA
5	TVUF	7	2	3	0	0	3
5	TVUF	8	1	NA	NA	NA	NA
5	TVUF	8	2	6	0	0	6
5	TVUF	9	1	5	0	0	5
5	TVUF	9	2	6	0	0	6
5	TVUF	10	1	1	0	0	1
5	TVUF	10	2	6	0	0	6
5	TVUH	1	1	NA	NA	NA	NA
5	TVUH	1	2	NA	NA	NA	NA
5	TVUH	2	1	2	0	0	2
5	TVUH	2	2	7	0	0	7
5	TVUH	3	1	2	0	0	2
5	TVUH	3	2	1	0	0	1
5	TVUH	4	1	6	0	0	6
5	TVUH	4	2	3	0	0	3
5	TVUH	5	1	0	0	0	0
5	TVUH	5	2	6	0	0	6
5	TVUH	6	1	12	0	0	12
5	TVUH	6	2	NA	NA	NA	NA
5	TVUH	7	1	NA	NA	NA	NA
5	TVUH	7	2	1	0	0	1
5	TVUH	8	1	5	0	0	5
5	TVUH	8	2	23	0	0	23
5	TVUH	9	1	7	0	0	7
5	TVUH	9	2	NA	NA	NA	NA
5	TVUH	10	1	NA	NA	NA	NA
5	TVUH	10	2	2	0	0	2
6	ROF	1	1	0	5	0	5
6	ROF	1	2	0	5	0	5
6	ROF	2	1	0	18	0	18
6	ROF	2	2	0	0	0	0
6	ROF	3	1	0	3	0	3
6	ROF	3	2	0	6	0	6
6	ROF	4	1	0	5	0	6
6	ROF	4	2	0	0	0	0
6	ROF	5	1	0	1	0	1
6	ROF	5	2	0	16	0	16
6	ROF	6	1	0	26	0	26
6	ROF	6	2	0	14	0	14
6	ROF	7	1	0	12	0	12
6	ROF	7	2	0	30	0	30
6	ROF	8	1	0	1	0	1
6	ROF	8	2	0	4	0	4
6	ROF	9	1	0	16	0	17
6	ROF	9	2	0	0	0	0
6	ROF	10	1	0	4	0	4
6	ROF	10	2	0	13	0	13
6	TVUF	1	1	1	0	0	2
6	TVUF	1	2	12	0	0	12
6	TVUF	2	1	6	0	0	6
6	TVUF	2	2	20	0	0	20
6	TVUF	3	1	8	0	0	8
6	TVUF	3	2	5	0	0	7
6	TVUF	4	1	2	0	0	2
6	TVUF	4	2	5	1	0	6
6	TVUF	5	1	0	31	1	32
6	TVUF	5	2	3	2	0	5
6	TVUF	6	1	NA	NA	NA	NA
6	TVUF	6	2	0	2	0	2
6	TVUF	7	1	0	0	0	0
6	TVUF	7	2	11	0	0	11
6	TVUF	8	1	3	0	0	3
6	TVUF	8	2	NA	NA	NA	NA
6	TVUF	9	1	35	0	0	36
6	TVUF	9	2	20	0	0	20
6	TVUF	10	1	17	1	1	19
6	TVUF	10	2	4	0	0	4
6	TVUH	1	1	36	0	0	36
6	TVUH	1	2	NA	NA	NA	NA
6	TVUH	2	1	6	0	0	6
6	TVUH	2	2	NA	NA	NA	NA
6	TVUH	3	1	6	0	0	6
6	TVUH	3	2	7	0	0	7
6	TVUH	4	1	NA	NA	NA	NA
6	TVUH	4	2	5	0	0	5
6	TVUH	5	1	11	0	0	11
6	TVUH	5	2	20	0	0	20
6	TVUH	6	1	NA	NA	NA	NA
6	TVUH	6	2	NA	NA	NA	NA
6	TVUH	7	1	3	0	0	3
6	TVUH	7	2	4	0	0	4
6	TVUH	8	1	2	0	0	2
6	TVUH	8	2	NA	NA	NA	NA
6	TVUH	9	1	NA	NA	NA	NA
6	TVUH	9	2	NA	NA	NA	NA
6	TVUH	10	1	NA	NA	NA	NA
6	TVUH	10	2	NA	NA	NA	NA
7	ROF	1	1	0	5	0	5
7	ROF	1	2	0	0	0	0
7	ROF	2	1	0	2	0	3
7	ROF	2	2	0	20	0	20
7	ROF	3	1	0	12	0	12
7	ROF	3	2	0	5	0	5
7	ROF	4	1	0	5	0	5
7	ROF	4	2	0	29	0	29
7	ROF	5	1	0	6	0	6
7	ROF	5	2	0	3	0	3
7	ROF	6	1	0	1	0	2
7	ROF	6	2	0	0	0	0
7	ROF	7	1	0	0	0	0
7	ROF	7	2	0	0	0	0
7	ROF	8	1	0	0	0	0
7	ROF	8	2	0	0	0	0
7	ROF	9	1	0	11	0	11
7	ROF	9	2	0	3	0	3
7	ROF	10	1	0	1	0	1
7	ROF	10	2	0	0	0	0
7	TVUF	1	1	0	0	0	0
7	TVUF	1	2	0	4	0	4
7	TVUF	2	1	15	1	0	17
7	TVUF	2	2	3	0	0	4
7	TVUF	3	1	21	0	0	21
7	TVUF	3	2	5	0	0	5
7	TVUF	4	1	25	1	0	26
7	TVUF	4	2	15	0	0	15
7	TVUF	5	1	NA	NA	NA	NA
7	TVUF	5	2	NA	NA	NA	NA
7	TVUF	6	1	0	4	0	4
7	TVUF	6	2	6	11	2	19
7	TVUF	7	1	23	0	0	23
7	TVUF	7	2	2	0	0	2
7	TVUF	8	1	12	0	0	12
7	TVUF	8	2	10	0	0	10
7	TVUF	9	1	NA	NA	NA	NA
7	TVUF	9	2	17	0	0	17
7	TVUF	10	1	13	0	0	13
7	TVUF	10	2	19	0	0	19
7	TVUH	1	1	2	0	0	2
7	TVUH	1	2	NA	NA	NA	NA
7	TVUH	2	1	15	0	0	15
7	TVUH	2	2	6	0	0	6
7	TVUH	3	1	2	0	0	2
7	TVUH	3	2	14	0	0	14
7	TVUH	4	1	1	0	0	1
7	TVUH	4	2	21	0	0	21
7	TVUH	5	1	12	0	0	12
7	TVUH	5	2	43	0	0	43
7	TVUH	6	1	11	0	0	11
7	TVUH	6	2	11	0	0	12
7	TVUH	7	1	30	0	1	31
7	TVUH	7	2	7	0	0	7
7	TVUH	8	1	NA	NA	NA	NA
7	TVUH	8	2	NA	NA	NA	NA
7	TVUH	9	1	5	0	0	5
7	TVUH	9	2	28	0	0	28
7	TVUH	10	1	3	0	0	3
7	TVUH	10	2	0	0	0	0
8	ROF	1	1	0	2	0	2
8	ROF	1	2	0	3	0	3
8	ROF	2	1	0	20	0	21
8	ROF	2	2	0	12	0	12
8	ROF	3	1	0	1	0	1
8	ROF	3	2	0	5	0	5
8	ROF	4	1	0	4	0	4
8	ROF	4	2	0	15	0	15
8	ROF	5	1	0	2	0	2
8	ROF	5	2	0	0	0	0
8	ROF	6	1	0	6	0	6
8	ROF	6	2	0	24	0	24
8	ROF	7	1	0	4	0	4
8	ROF	7	2	0	37	0	37
8	ROF	8	1	0	1	0	1
8	ROF	8	2	0	7	0	7
8	ROF	9	1	0	0	0	0
8	ROF	9	2	0	13	0	13
8	ROF	10	1	0	14	0	15
8	ROF	10	2	0	15	0	15
8	TVUF	1	1	5	4	0	9
8	TVUF	1	2	NA	NA	NA	NA
8	TVUF	2	1	7	4	0	11
8	TVUF	2	2	13	5	0	18
8	TVUF	3	1	NA	NA	NA	NA
8	TVUF	3	2	NA	NA	NA	NA
8	TVUF	4	1	13	5	0	18
8	TVUF	4	2	18	1	0	19
8	TVUF	5	1	8	23	4	36
8	TVUF	5	2	5	36	1	42
8	TVUF	6	1	3	0	0	3
8	TVUF	6	2	2	7	0	9
8	TVUF	7	1	4	1	0	6
8	TVUF	7	2	9	1	1	13
8	TVUF	8	1	6	3	2	11
8	TVUF	8	2	10	0	1	11
8	TVUF	9	1	2	0	0	2
8	TVUF	9	2	6	0	0	6
8	TVUF	10	1	10	10	1	21
8	TVUF	10	2	18	0	1	20
8	TVUH	1	1	3	0	0	3
8	TVUH	1	2	28	0	0	28
8	TVUH	2	1	4	0	0	4
8	TVUH	2	2	0	0	0	0
8	TVUH	3	1	11	0	0	11
8	TVUH	3	2	4	0	0	5
8	TVUH	4	1	NA	NA	NA	NA
8	TVUH	4	2	NA	NA	NA	NA
8	TVUH	5	1	0	0	0	0
8	TVUH	5	2	7	0	0	7
8	TVUH	6	1	2	0	0	2
8	TVUH	6	2	1	0	0	1
8	TVUH	7	1	1	0	0	1
8	TVUH	7	2	4	0	0	4
8	TVUH	8	1	1	0	0	1
8	TVUH	8	2	1	0	0	1
8	TVUH	9	1	1	0	0	1
8	TVUH	9	2	1	0	2	3
8	TVUH	10	1	7	0	0	7
8	TVUH	10	2	0	0	0	0
9	ROF	1	1	0	8	0	8
9	ROF	1	2	0	4	0	4
9	ROF	2	1	0	0	0	0
9	ROF	2	2	0	2	0	2
9	ROF	3	1	0	0	0	0
9	ROF	3	2	0	5	0	5
9	ROF	4	1	0	1	0	1
9	ROF	4	2	0	4	0	4
9	ROF	5	1	0	0	0	0
9	ROF	5	2	0	0	0	0
9	ROF	6	1	0	9	0	9
9	ROF	6	2	0	0	0	0
9	ROF	7	1	0	1	0	1
9	ROF	7	2	0	8	0	8
9	ROF	8	1	0	1	0	1
9	ROF	8	2	0	1	0	1
9	ROF	9	1	0	0	0	0
9	ROF	9	2	0	2	0	2
9	ROF	10	1	0	18	0	18
9	ROF	10	2	0	44	0	44
9	TVUF	1	1	6	0	0	6
9	TVUF	1	2	4	0	0	4
9	TVUF	2	1	5	0	0	5
9	TVUF	2	2	11	1	2	14
9	TVUF	3	1	73	0	0	73
9	TVUF	3	2	0	0	0	0
9	TVUF	4	1	78	2	0	80
9	TVUF	4	2	24	0	0	24
9	TVUF	5	1	25	0	0	25
9	TVUF	5	2	29	0	0	29
9	TVUF	6	1	4	0	0	4
9	TVUF	6	2	35	0	0	35
9	TVUF	7	1	90	0	0	90
9	TVUF	7	2	25	0	0	25
9	TVUF	8	1	22	0	0	22
9	TVUF	8	2	14	0	0	14
9	TVUF	9	1	24	0	0	24
9	TVUF	9	2	60	0	0	60
9	TVUF	10	1	13	0	0	13
9	TVUF	10	2	56	0	0	56
9	TVUH	1	1	36	0	0	36
9	TVUH	1	2	8	0	0	8
9	TVUH	2	1	7	0	0	7
9	TVUH	2	2	8	1	0	9
9	TVUH	3	1	23	0	0	23
9	TVUH	3	2	7	0	0	7
9	TVUH	4	1	8	0	0	8
9	TVUH	4	2	7	0	0	7
9	TVUH	5	1	18	0	0	18
9	TVUH	5	2	15	0	0	15
9	TVUH	6	1	4	0	0	4
9	TVUH	6	2	10	0	0	10
9	TVUH	7	1	15	0	0	15
9	TVUH	7	2	64	0	0	64
9	TVUH	8	1	22	0	0	22
9	TVUH	8	2	7	0	0	7
9	TVUH	9	1	20	0	0	20
9	TVUH	9	2	7	0	0	7
9	TVUH	10	1	29	0	0	29
9	TVUH	10	2	13	0	0	13
10	ROF	1	1	0	4	0	4
10	ROF	1	2	0	6	0	6
10	ROF	2	1	0	10	0	10
10	ROF	2	2	0	5	0	5
10	ROF	3	1	0	7	0	7
10	ROF	3	2	0	15	0	16
10	ROF	4	1	0	22	0	24
10	ROF	4	2	0	3	2	5
10	ROF	5	1	0	7	0	7
10	ROF	5	2	0	16	0	16
10	ROF	6	1	0	19	0	19
10	ROF	6	2	0	21	0	21
10	ROF	7	1	0	0	0	0
10	ROF	7	2	0	34	0	38
10	ROF	8	1	1	32	0	33
10	ROF	8	2	0	4	0	4
10	ROF	9	1	0	30	0	30
10	ROF	9	2	0	3	0	3
10	ROF	10	1	NA	NA	NA	NA
10	ROF	10	2	NA	NA	NA	NA
10	TVUF	1	1	NA	NA	NA	NA
10	TVUF	1	2	10	0	0	10
10	TVUF	2	1	6	1	0	7
10	TVUF	2	2	6	0	0	6
10	TVUF	3	1	11	0	0	11
10	TVUF	3	2	1	0	0	1
10	TVUF	4	1	5	0	0	5
10	TVUF	4	2	31	0	0	31
10	TVUF	5	1	5	0	1	6
10	TVUF	5	2	2	0	0	2
10	TVUF	6	1	1	0	0	1
10	TVUF	6	2	6	0	0	6
10	TVUF	7	1	1	1	0	2
10	TVUF	7	2	NA	NA	NA	NA
10	TVUF	8	1	9	0	0	9
10	TVUF	8	2	41	0	0	41
10	TVUF	9	1	22	0	0	22
10	TVUF	9	2	5	0	0	5
10	TVUF	10	1	NA	NA	NA	NA
10	TVUF	10	2	NA	NA	NA	NA
10	TVUH	1	1	1	0	0	1
10	TVUH	1	2	5	0	0	5
10	TVUH	2	1	4	0	0	4
10	TVUH	2	2	3	0	0	4
10	TVUH	3	1	14	1	0	15
10	TVUH	3	2	12	0	0	12
10	TVUH	4	1	42	0	0	42
10	TVUH	4	2	28	0	0	28
10	TVUH	5	1	NA	NA	NA	NA
10	TVUH	5	2	10	0	0	10
10	TVUH	6	1	1	0	0	1
10	TVUH	6	2	18	0	0	18
10	TVUH	7	1	0	0	0	0
10	TVUH	7	2	36	0	0	36
10	TVUH	8	1	NA	NA	NA	NA
10	TVUH	8	2	NA	NA	NA	NA
10	TVUH	9	1	NA	NA	NA	NA
10	TVUH	9	2	NA	NA	NA	NA
10	TVUH	10	1	2	0	0	2
10	TVUH	10	2	16	0	0	16
11	ROF	1	1	0	16	0	16
11	ROF	1	2	0	0	0	0
11	ROF	2	1	0	8	0	8
11	ROF	2	2	0	5	0	5
11	ROF	3	1	0	1	0	1
11	ROF	3	2	0	10	0	10
11	ROF	4	1	0	0	0	0
11	ROF	4	2	0	2	0	2
11	ROF	5	1	0	0	0	0
11	ROF	5	2	0	5	0	5
11	ROF	6	1	0	19	0	19
11	ROF	6	2	0	2	0	2
11	ROF	7	1	0	27	0	27
11	ROF	7	2	0	1	0	1
11	ROF	8	1	0	3	0	3
11	ROF	8	2	0	19	0	20
11	ROF	9	1	0	0	0	0
11	ROF	9	2	0	21	0	21
11	ROF	10	1	0	9	0	9
11	ROF	10	2	0	12	0	12
11	TVUF	1	1	2	0	0	2
11	TVUF	1	2	13	2	2	17
11	TVUF	2	1	8	0	0	8
11	TVUF	2	2	2	1	3	6
11	TVUF	3	1	0	1	0	1
11	TVUF	3	2	1	0	0	1
11	TVUF	4	1	22	0	0	22
11	TVUF	4	2	7	1	0	8
11	TVUF	5	1	4	0	0	4
11	TVUF	5	2	0	0	0	0
11	TVUF	6	1	2	0	0	2
11	TVUF	6	2	0	0	0	0
11	TVUF	7	1	15	2	0	17
11	TVUF	7	2	10	28	2	40
11	TVUF	8	1	16	3	14	33
11	TVUF	8	2	6	0	20	26
11	TVUF	9	1	2	0	2	4
11	TVUF	9	2	0	0	0	0
11	TVUF	10	1	NA	NA	NA	NA
11	TVUF	10	2	57	1	0	58
11	TVUH	1	1	0	0	0	0
11	TVUH	1	2	5	0	0	5
11	TVUH	2	1	0	0	0	0
11	TVUH	2	2	0	0	0	0
11	TVUH	3	1	41	0	0	41
11	TVUH	3	2	0	0	0	0
11	TVUH	4	1	4	0	0	4
11	TVUH	4	2	5	0	0	5
11	TVUH	5	1	4	1	0	5
11	TVUH	5	2	0	0	1	1
11	TVUH	6	1	0	0	0	0
11	TVUH	6	2	0	0	0	0
11	TVUH	7	1	NA	NA	NA	NA
11	TVUH	7	2	NA	NA	NA	NA
11	TVUH	8	1	NA	NA	NA	NA
11	TVUH	8	2	NA	NA	NA	NA
11	TVUH	9	1	NA	NA	NA	NA
11	TVUH	9	2	NA	NA	NA	NA
11	TVUH	10	1	NA	NA	NA	NA
11	TVUH	10	2	NA	NA	NA	NA
12	ROF	1	1	0	9	0	9
12	ROF	1	2	0	0	0	0
12	ROF	2	1	1	5	0	6
12	ROF	2	2	0	2	0	3
12	ROF	3	1	0	0	0	0
12	ROF	3	2	0	1	0	1
12	ROF	4	1	0	4	0	4
12	ROF	4	2	0	15	0	15
12	ROF	5	1	0	7	0	7
12	ROF	5	2	0	24	0	24
12	ROF	6	1	0	25	0	25
12	ROF	6	2	0	10	3	16
12	ROF	7	1	0	2	1	3
12	ROF	7	2	0	2	0	2
12	ROF	8	1	1	4	0	5
12	ROF	8	2	0	13	0	13
12	ROF	9	1	0	3	0	3
12	ROF	9	2	0	18	0	18
12	ROF	10	1	0	5	0	5
12	ROF	10	2	0	19	0	19
12	TVUF	1	1	0	0	1	1
12	TVUF	1	2	5	0	0	5
12	TVUF	2	1	4	0	1	5
12	TVUF	2	2	0	0	1	1
12	TVUF	3	1	2	0	0	2
12	TVUF	3	2	0	0	0	0
12	TVUF	4	1	16	0	4	20
12	TVUF	4	2	12	0	0	13
12	TVUF	5	1	1	0	0	1
12	TVUF	5	2	7	0	1	8
12	TVUF	6	1	0	0	0	0
12	TVUF	6	2	43	0	0	43
12	TVUF	7	1	9	0	0	9
12	TVUF	7	2	11	0	1	12
12	TVUF	8	1	0	0	0	0
12	TVUF	8	2	3	0	0	3
12	TVUF	9	1	3	0	0	4
12	TVUF	9	2	4	0	0	4
12	TVUF	10	1	0	0	0	0
12	TVUF	10	2	0	0	0	0
12	TVUH	1	1	8	0	0	8
12	TVUH	1	2	0	0	0	0
12	TVUH	2	1	13	0	0	13
12	TVUH	2	2	0	0	0	0
12	TVUH	3	1	3	0	0	3
12	TVUH	3	2	2	0	0	2
12	TVUH	4	1	26	0	0	26
12	TVUH	4	2	0	0	0	0
12	TVUH	5	1	0	0	0	0
12	TVUH	5	2	15	0	0	15
12	TVUH	6	1	0	0	0	0
12	TVUH	6	2	2	0	0	2
12	TVUH	7	1	4	0	0	4
12	TVUH	7	2	18	0	0	18
12	TVUH	8	1	4	0	0	4
12	TVUH	8	2	0	0	0	0
12	TVUH	9	1	12	0	0	12
12	TVUH	9	2	1	0	0	1
12	TVUH	10	1	2	0	0	2
12	TVUH	10	2	NA	NA	NA	NA
13	ROF	1	1	0	8	1	9
13	ROF	1	2	0	0	0	0
13	ROF	2	1	0	12	0	12
13	ROF	2	2	0	5	0	5
13	ROF	3	1	0	1	0	1
13	ROF	3	2	0	1	0	1
13	ROF	4	1	0	0	0	0
13	ROF	4	2	0	2	0	3
13	ROF	5	1	0	18	0	18
13	ROF	5	2	0	4	0	4
13	ROF	6	1	0	0	0	0
13	ROF	6	2	0	16	0	16
