Plot	Species	Transect	Flors
28	TVUF	4	885
28	TVUH	4	37
29	ROF	1	0
29	TVUF	1	9131
29	TVUH	1	2199
29	ROF	2	0
29	TVUF	2	15993
29	TVUH	2	3461
29	ROF	3	0
29	TVUF	3	1406
29	TVUH	3	12295
29	ROF	4	0
29	TVUF	4	2947
29	TVUH	4	6205
30	ROF	1	6714
30	TVUF	1	1247
30	TVUH	1	1039
30	ROF	2	3062
30	TVUF	2	1282
30	TVUH	2	251
30	ROF	3	2056
30	TVUF	3	4312
30	TVUH	3	715
30	ROF	4	1876
30	TVUF	4	3618
30	TVUH	4	1064
31	ROF	1	718
31	TVUF	1	1726
31	TVUH	1	216
31	ROF	2	1653
31	TVUF	2	1115
31	TVUH	2	1273
31	ROF	3	680
31	TVUF	3	284
31	TVUH	3	860
31	ROF	4	537
31	TVUF	4	0
31	TVUH	4	0
32	ROF	1	NA
32	TVUF	1	NA
32	TVUH	1	NA
32	ROF	2	NA
32	TVUF	2	NA
32	TVUH	2	NA
32	ROF	3	NA
32	TVUF	3	NA
32	TVUH	3	NA
32	ROF	4	NA
32	TVUF	4	NA
32	TVUH	4	NA
33	ROF	1	1566
33	TVUF	1	14683
33	TVUH	1	356
33	ROF	2	1618
33	TVUF	2	285
33	TVUH	2	216
33	ROF	3	684
33	TVUF	3	183
33	TVUH	3	881
33	ROF	4	400
33	TVUF	4	0
33	TVUH	4	152
34	ROF	1	NA
34	TVUF	1	NA
34	TVUH	1	NA
34	ROF	2	NA
34	TVUF	2	NA
34	TVUH	2	NA
34	ROF	3	NA
34	TVUF	3	NA
34	TVUH	3	NA
34	ROF	4	NA
34	TVUF	4	NA
34	TVUH	4	NA
35	ROF	1	31
35	TVUF	1	675
35	TVUH	1	269
35	ROF	2	45
35	TVUF	2	750
35	TVUH	2	366
35	ROF	3	396
35	TVUF	3	1242
35	TVUH	3	217
35	ROF	4	254
35	TVUF	4	604
35	TVUH	4	0
36	ROF	1	110
36	TVUF	1	44719
36	TVUH	1	29029
36	ROF	2	602
36	TVUF	2	13233
36	TVUH	2	4495
36	ROF	3	508
36	TVUF	3	4134
36	TVUH	3	3024
36	ROF	4	208
36	TVUF	4	12641
36	TVUH	4	0
37	ROF	1	0
37	TVUF	1	22630
37	TVUH	1	14532
37	ROF	2	240
37	TVUF	2	4952
37	TVUH	2	9364
37	ROF	3+4	1540
37	TVUF	3+4	421
37	TVUH	3+4	707
38	ROF	1	320
38	TVUF	1	7606
38	TVUH	1	17304
38	ROF	2	715
38	TVUF	2	1558
38	TVUH	2	2799
38	ROF	3	1073
38	TVUF	3	780
38	TVUH	3	1626
38	ROF	4	1215
38	TVUF	4	369
38	TVUH	4	12358
39	ROF	1	208
39	TVUF	1	6010
39	TVUH	1	1662
39	ROF	2	3600
39	TVUF	2	2500
39	TVUH	2	1793
39	ROF	3	927
39	TVUF	3	1221
39	TVUH	3	1550
39	ROF	4	535
39	TVUF	4	2946
39	TVUH	4	3156
40	ROF	1	638
40	TVUF	1	1435
40	TVUH	1	382
40	ROF	2	0
40	TVUF	2	339
40	TVUH	2	209
40	ROF	3	656
40	TVUF	3	322
40	TVUH	3	469
40	ROF	4	1808
40	TVUF	4	333
40	TVUH	4	111
