Plot      PollinatorPollinatorPollinatorFunctionalSpecies   Abundance
38        Andrena_naBee       Small_bee Short-tongTVUF      1
37        Andrena_naBee       Small_bee Short-tongTVUH      1
16        Andrena_vuBee       Small_bee Short-tongHOE       1
35        Andrena_vuBee       Small_bee Short-tongHOE       2
8         Ceratina_cBee       Small_bee Short-tongROF       1
21        Halictus_sBee       Small_bee Short-tongHOE       1
15        Halictus_sBee       Small_bee Short-tongROF       1
18        Halictus_sBee       Small_bee Short-tongROF       1
34        Hylaeus_gaBee       Small_bee Short-tongDPE       1
18        Hylaeus_gaBee       Small_bee Short-tongTVUF      1
8         Hylaeus_hyBee       Small_bee Short-tongHOE       1
21        Hylaeus_hyBee       Small_bee Short-tongHOE       1
18        Hylaeus_hyBee       Small_bee Short-tongTVUF      4
29        Hylaeus_hyBee       Small_bee Short-tongTVUF      1
33        Hylaeus_hyBee       Small_bee Short-tongTVUF      1
38        Hylaeus_hyBee       Small_bee Short-tongTVUF      2
4         Hylaeus_hyBee       Small_bee Short-tongTVUH      1
6         Hylaeus_hyBee       Small_bee Short-tongTVUH      2
9         Hylaeus_hyBee       Small_bee Short-tongTVUH      1
20        Hylaeus_hyBee       Small_bee Short-tongTVUH      1
18        Hylaeus_spBee       Small_bee Short-tongTVUF      1
24        LasioglossBee       Small_bee Short-tongHOE       1
21        LasioglossBee       Small_bee Short-tongROF       1
22        LasioglossBee       Small_bee Short-tongROF       1
8         LasioglossBee       Small_bee Short-tongROF       1
16        LasioglossBee       Small_bee Short-tongOLA       1
3         LasioglossBee       Small_bee Short-tongROF       1
12        LasioglossBee       Small_bee Short-tongROF       1
16        LasioglossBee       Small_bee Short-tongROF       1
30        LasioglossBee       Small_bee Short-tongROF       1
34        LasioglossBee       Small_bee Short-tongTVUH      1
37        LasioglossBee       Small_bee Short-tongTVUH      1
39        LasioglossBee       Small_bee Short-tongCSA       2
14        LasioglossBee       Small_bee Short-tongROF       1
36        LasioglossBee       Small_bee Short-tongROF       1
34        LasioglossBee       Small_bee Short-tongTVUH      1
36        LasioglossBee       Small_bee Short-tongTVUH      1
37        LasioglossBee       Small_bee Short-tongTVUH      1
33        LasioglossBee       Small_bee Short-tongCSA       2
18        LasioglossBee       Small_bee Short-tongFLA       1
20        LasioglossBee       Small_bee Short-tongHOE       1
35        LasioglossBee       Small_bee Short-tongHOE       1
12        LasioglossBee       Small_bee Short-tongTVUF      1
13        LasioglossBee       Small_bee Short-tongTVUF      1
14        LasioglossBee       Small_bee Short-tongTVUF      1
23        LasioglossBee       Small_bee Short-tongTVUF      1
24        LasioglossBee       Small_bee Short-tongTVUF      1
28        LasioglossBee       Small_bee Short-tongTVUF      1
31        LasioglossBee       Small_bee Short-tongTVUF      2
32        LasioglossBee       Small_bee Short-tongTVUF      1
33        LasioglossBee       Small_bee Short-tongTVUF      1
36        LasioglossBee       Small_bee Short-tongTVUF      1
37        LasioglossBee       Small_bee Short-tongTVUF      1
38        LasioglossBee       Small_bee Short-tongTVUF      1
39        LasioglossBee       Small_bee Short-tongTVUF      1
12        LasioglossBee       Small_bee Short-tongTVUH      6
32        LasioglossBee       Small_bee Short-tongTVUH      1
37        LasioglossBee       Small_bee Short-tongTVUH      1
39        LasioglossBee       Small_bee Short-tongTVUH      1
29        Nomada_flaBee       Small_bee Short-tongTVUF      1
30        Nomada_flaBee       Small_bee Short-tongTVUF      1
22        Nomada_sucBee       Small_bee Short-tongTVUF      1
36        Nomada_sucBee       Small_bee Short-tongTVUF      1
38        Nomada_sucBee       Small_bee Short-tongTVUH      1
24        Osmia_gallBee       Small_bee Short-tongROF       1
8         Osmia_rufoBee       Small_bee Short-tongFAB       1
20        Osmia_rufoBee       Small_bee Short-tongHOE       1
17        Osmia_rufoBee       Small_bee Short-tongTVUF      1
34        Anaspis   ColeopteraColeopteraBeetles   AMO       1
17        Anaspis   ColeopteraColeopteraBeetles   EFL       1
37        Anaspis   ColeopteraColeopteraBeetles   ESE       1
35        Anaspis   ColeopteraColeopteraBeetles   HOE       1
37        Anaspis   ColeopteraColeopteraBeetles   SHI       1
24        Anthaxia  ColeopteraColeopteraBeetles   BLA       1
24        Anthaxia  ColeopteraColeopteraBeetles   HOE       1
26        Anthaxia  ColeopteraColeopteraBeetles   TVUH      1
30        Anthrenus_ColeopteraColeopteraBeetles   CSA       1
33        Anthrenus_ColeopteraColeopteraBeetles   CSA       3
15        Anthrenus_ColeopteraColeopteraBeetles   ECH       1
19        Anthrenus_ColeopteraColeopteraBeetles   EFL       3
30        Anthrenus_ColeopteraColeopteraBeetles   EFL       2
33        Anthrenus_ColeopteraColeopteraBeetles   CSA       1
25        Anthrenus_ColeopteraColeopteraBeetles   EFL       1
38        Anthrenus_ColeopteraColeopteraBeetles   CSA       1
3         AplocnemusColeopteraColeopteraBeetles   ROF       1
31        AplocnemusColeopteraColeopteraBeetles   ROF       1
34        AplocnemusColeopteraColeopteraBeetles   ROF       1
31        Attalus_piColeopteraColeopteraBeetles   ROF       7
37        Bruchid_2 ColeopteraColeopteraBeetles   CAL       1
29        BruchidiusColeopteraColeopteraBeetles   EFL       3
14        BruchidiusColeopteraColeopteraBeetles   EFL       1
37        ClanoptiluColeopteraColeopteraBeetles   CAL       1
32        ClanoptiluColeopteraColeopteraBeetles   CSA       2
38        ClanoptiluColeopteraColeopteraBeetles   CSA       2
37        ClanoptiluColeopteraColeopteraBeetles   ESE       1
20        ClanoptiluColeopteraColeopteraBeetles   ROF       1
31        ClanoptiluColeopteraColeopteraBeetles   ROF       1
34        ClanoptiluColeopteraColeopteraBeetles   ROF       1
37        ClanoptiluColeopteraColeopteraBeetles   ROF       1
35        Clytra_quaColeopteraColeopteraBeetles   HOE       1
30        Coleòpter_ColeopteraColeopteraBeetles   CSA       1
37        ColeopteraColeopteraColeopteraBeetles   EFL       1
20        CryptocephColeopteraColeopteraBeetles   AMO       1
5         Danacea_loColeopteraColeopteraBeetles   ROF       1
37        Dasytes_niColeopteraColeopteraBeetles   CAL       4
33        Dasytes_niColeopteraColeopteraBeetles   CSA       1
14        Dasytes_niColeopteraColeopteraBeetles   EFL       1
29        Dasytes_niColeopteraColeopteraBeetles   EFL       1
17        Dasytes_niColeopteraColeopteraBeetles   HOE       1
7         Dasytes_niColeopteraColeopteraBeetles   ROF       1
30        Dasytes_niColeopteraColeopteraBeetles   ROF       1
31        Dasytes_niColeopteraColeopteraBeetles   ROF       4
38        Dasytes_niColeopteraColeopteraBeetles   ROF       1
28        Dasytes_niColeopteraColeopteraBeetles   TVUH      1
17        Escarabat_ColeopteraColeopteraBeetles   EFL       1
22        Escarabat_ColeopteraColeopteraBeetles   FLA       1
21        Escarabat_ColeopteraColeopteraBeetles   HOE       1
5         Lobonyx_aeColeopteraColeopteraBeetles   CSA       1
9         Lobonyx_aeColeopteraColeopteraBeetles   CSA       2
15        Lobonyx_aeColeopteraColeopteraBeetles   CSA       9
32        Lobonyx_aeColeopteraColeopteraBeetles   CSA       1
33        Lobonyx_aeColeopteraColeopteraBeetles   CSA       2
38        Lobonyx_aeColeopteraColeopteraBeetles   CSA       1
5         Lobonyx_aeColeopteraColeopteraBeetles   ROF       2
9         Lobonyx_aeColeopteraColeopteraBeetles   ROF       2
15        Lobonyx_aeColeopteraColeopteraBeetles   ROF       12
20        Lobonyx_aeColeopteraColeopteraBeetles   ROF       4
21        Lobonyx_aeColeopteraColeopteraBeetles   ROF       8
30        Lobonyx_aeColeopteraColeopteraBeetles   ROF       1
34        Lobonyx_aeColeopteraColeopteraBeetles   TVUF      1
9         Lobonyx_aeColeopteraColeopteraBeetles   TVUH      1
14        Malthinus ColeopteraColeopteraBeetles   EFL       2
17        Malthinus ColeopteraColeopteraBeetles   EFL       2
7         Malthinus ColeopteraColeopteraBeetles   ROF       2
17        Malthinus ColeopteraColeopteraBeetles   ROF       1
9         MeligethesColeopteraColeopteraBeetles   ROF       1
35        MeligethesColeopteraColeopteraBeetles   EFL       1
28        MeligethesColeopteraColeopteraBeetles   TVUF      1
35        MeligethesColeopteraColeopteraBeetles   TVUF      2
40        MeligethesColeopteraColeopteraBeetles   TVUH      2
20        MicrohoriaColeopteraColeopteraBeetles   HOE       1
21        MicrohoriaColeopteraColeopteraBeetles   HOE       1
15        MordellistColeopteraColeopteraBeetles   BLA       1
33        MordellistColeopteraColeopteraBeetles   CSA       2
19        MordellistColeopteraColeopteraBeetles   EFL       1
21        Oedemera_fColeopteraColeopteraBeetles   BLA       2
21        Oedemera_fColeopteraColeopteraBeetles   POT       1
9         Oedemera_fColeopteraColeopteraBeetles   RGR       1
21        Oedemera_fColeopteraColeopteraBeetles   ROF       1
15        Oedemera_fColeopteraColeopteraBeetles   TVUH      1
20        Oxythyrea_ColeopteraColeopteraBeetles   AMO       2
1         Oxythyrea_ColeopteraColeopteraBeetles   CAL       2
37        Oxythyrea_ColeopteraColeopteraBeetles   CAL       1
6         Oxythyrea_ColeopteraColeopteraBeetles   CSA       1
9         Oxythyrea_ColeopteraColeopteraBeetles   CSA       1
32        Oxythyrea_ColeopteraColeopteraBeetles   CSA       1
37        Oxythyrea_ColeopteraColeopteraBeetles   CSA       1
39        Oxythyrea_ColeopteraColeopteraBeetles   CSA       3
7         Oxythyrea_ColeopteraColeopteraBeetles   CSP       1
15        Oxythyrea_ColeopteraColeopteraBeetles   ECH       2
13        Oxythyrea_ColeopteraColeopteraBeetles   PRUNUS    1
9         Oxythyrea_ColeopteraColeopteraBeetles   RGR       2
2         Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
3         Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
5         Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
8         Oxythyrea_ColeopteraColeopteraBeetles   ROF       3
11        Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
14        Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
15        Oxythyrea_ColeopteraColeopteraBeetles   ROF       2
16        Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
20        Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
22        Oxythyrea_ColeopteraColeopteraBeetles   ROF       2
23        Oxythyrea_ColeopteraColeopteraBeetles   ROF       2
25        Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
30        Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
31        Oxythyrea_ColeopteraColeopteraBeetles   ROF       4
34        Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
36        Oxythyrea_ColeopteraColeopteraBeetles   ROF       3
38        Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
39        Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
40        Oxythyrea_ColeopteraColeopteraBeetles   ROF       1
26        Oxythyrea_ColeopteraColeopteraBeetles   TVUH      1
7         SmaragdinaColeopteraColeopteraBeetles   CSP       1
17        SmaragdinaColeopteraColeopteraBeetles   CSP       1
39        Tropinota_ColeopteraColeopteraBeetles   CSA       4
7         Tropinota_ColeopteraColeopteraBeetles   ROF       1
37        Tropinota_ColeopteraColeopteraBeetles   ROF       1
39        Tropinota_ColeopteraColeopteraBeetles   ROF       2
7         Tropinota_ColeopteraColeopteraBeetles   TVUF      1
21        Bombylius_Diptera   Diptera   Beeflies  ROF       1
2         Bombylius_Diptera   Diptera   Beeflies  ROF       2
21        Bombylius_Diptera   Diptera   Beeflies  ROF       1
40        Bombylius_Diptera   Diptera   Beeflies  ROF       1
32        Bombylius_Diptera   Diptera   Beeflies  TVUF      1
37        Bombylius_Diptera   Diptera   Beeflies  ROF       1
38        ConophorusDiptera   Diptera   Beeflies  TVUH      1
19        ChamaesyrpDiptera   Diptera   HoverfliesEFL       1
21        ChamaesyrpDiptera   Diptera   HoverfliesFLA       1
8         ChamaesyrpDiptera   Diptera   HoverfliesHOE       2
21        ChamaesyrpDiptera   Diptera   HoverfliesHOE       2
34        ChamaesyrpDiptera   Diptera   HoverfliesHOE       1
13        ChamaesyrpDiptera   Diptera   HoverfliesROF       1
17        ChamaesyrpDiptera   Diptera   HoverfliesROF       1
8         ChamaesyrpDiptera   Diptera   HoverfliesTVUF      2
11        ChamaesyrpDiptera   Diptera   HoverfliesTVUF      1
33        ChamaesyrpDiptera   Diptera   HoverfliesTVUF      1
17        ChamaesyrpDiptera   Diptera   HoverfliesTVUH      1
38        ChamaesyrpDiptera   Diptera   HoverfliesTVUH      1
5         ChrysotoxuDiptera   Diptera   HoverfliesEFL       1
16        ChrysotoxuDiptera   Diptera   HoverfliesEFL       1
19        ChrysotoxuDiptera   Diptera   HoverfliesEFL       1
37        ChrysotoxuDiptera   Diptera   HoverfliesEFL       1
37        ChrysotoxuDiptera   Diptera   HoverfliesESE       2
4         ChrysotoxuDiptera   Diptera   HoverfliesROF       1
10        ChrysotoxuDiptera   Diptera   HoverfliesROF       1
14        ChrysotoxuDiptera   Diptera   HoverfliesROF       1
19        ChrysotoxuDiptera   Diptera   HoverfliesROF       1
23        ChrysotoxuDiptera   Diptera   HoverfliesROF       1
31        ChrysotoxuDiptera   Diptera   HoverfliesROF       1
37        ChrysotoxuDiptera   Diptera   HoverfliesROF       1
15        ChrysotoxuDiptera   Diptera   HoverfliesTVUF      1
37        ChrysotoxuDiptera   Diptera   HoverfliesTVUF      1
12        ChrysotoxuDiptera   Diptera   HoverfliesTVUH      1
31        ChrysotoxuDiptera   Diptera   HoverfliesTVUH      1
13        ChrysotoxuDiptera   Diptera   HoverfliesTVUF      1
6         EpysirphusDiptera   Diptera   HoverfliesROF       1
35        EristalinuDiptera   Diptera   HoverfliesTVUF      1
1         Eristalis_Diptera   Diptera   HoverfliesTVUH      1
32        Merodon   Diptera   Diptera   HoverfliesTVUH      1
35        Paragus_tiDiptera   Diptera   HoverfliesHOE       1
34        Paragus_tiDiptera   Diptera   HoverfliesTVUF      1
34        Paragus_tiDiptera   Diptera   HoverfliesTVUH      1
35        PlatynochaDiptera   Diptera   HoverfliesTVUH      1
1         Scaeva_albDiptera   Diptera   HoverfliesROF       1
17        Syritta_piDiptera   Diptera   HoverfliesEFL       1
24        Syrphidae_Diptera   Diptera   HoverfliesECH       1
3         Syrphidae_Diptera   Diptera   HoverfliesROF       1
29        Syrphidae_Diptera   Diptera   HoverfliesEFL       1
1         Bibio_sp  Diptera   Diptera   Large_flieROF       1
2         Bibio_sp  Diptera   Diptera   Large_flieROF       2
3         Bibio_sp  Diptera   Diptera   Large_flieROF       52
4         Bibio_sp  Diptera   Diptera   Large_flieROF       16
5         Bibio_sp  Diptera   Diptera   Large_flieROF       4
7         Bibio_sp  Diptera   Diptera   Large_flieROF       1
12        Bibio_sp  Diptera   Diptera   Large_flieROF       16
14        Bibio_sp  Diptera   Diptera   Large_flieROF       3
26        Bibio_sp  Diptera   Diptera   Large_flieROF       3
27        Bibio_sp  Diptera   Diptera   Large_flieROF       1
30        Bibio_sp  Diptera   Diptera   Large_flieROF       1
24        CalliphoriDiptera   Diptera   Large_flieROF       2
7         CalliphoriDiptera   Diptera   Large_flieTVUF      1
30        Conòpid_llDiptera   Diptera   Large_flieROF       1
28        Dipter_2  Diptera   Diptera   Large_flieEFL       1
31        Dipter_blaDiptera   Diptera   Large_flieOLA       1
33        Dipter_eliDiptera   Diptera   Large_flieCSA       2
19        Dipter_graDiptera   Diptera   Large_flieEFL       1
21        Dipter_molDiptera   Diptera   Large_flieROF       1
7         Empididae_Diptera   Diptera   Large_flieROF       1
9         Empididae_Diptera   Diptera   Large_flieROF       1
19        Empididae_Diptera   Diptera   Large_flieROF       1
22        Empididae_Diptera   Diptera   Large_flieROF       2
36        Empididae_Diptera   Diptera   Large_flieTVUF      1
37        Fals_conòpDiptera   Diptera   Large_flieEFL       2
11        Fals_conòpDiptera   Diptera   Large_flieTVUF      1
36        Fals_conòpDiptera   Diptera   Large_flieTVUF      1
38        Fals_conòpDiptera   Diptera   Large_flieTVUF      1
36        Fals_conòpDiptera   Diptera   Large_flieTVUH      1
38        Fals_conòpDiptera   Diptera   Large_flieTVUH      4
38        Lucilia   Diptera   Diptera   Large_flieTVUH      1
1         Mosca_1   Diptera   Diptera   Large_flieTVUH      1
3         Mosca_11  Diptera   Diptera   Large_flieROF       3
29        Mosca_14  Diptera   Diptera   Large_flieECH       1
19        Mosca_14  Diptera   Diptera   Large_flieROF       1
20        Mosca_14  Diptera   Diptera   Large_flieROF       2
24        Mosca_15  Diptera   Diptera   Large_flieECH       4
29        Mosca_15  Diptera   Diptera   Large_flieECH       4
20        Mosca_15  Diptera   Diptera   Large_flieROF       4
24        Mosca_15  Diptera   Diptera   Large_flieROF       1
33        Mosca_16  Diptera   Diptera   Large_flieTVUF      1
38        Mosca_16  Diptera   Diptera   Large_flieTVUF      1
38        Mosca_16  Diptera   Diptera   Large_flieTVUH      1
38        Mosca_17  Diptera   Diptera   Large_flieTVUF      1
37        Mosca_17  Diptera   Diptera   Large_flieTVUH      1
38        Mosca_18  Diptera   Diptera   Large_flieTVUF      3
20        Mosca_19  Diptera   Diptera   Large_flieROF       1
37        Mosca_20  Diptera   Diptera   Large_flieTVUH      1
31        Mosca_3   Diptera   Diptera   Large_flieROF       1
39        Mosca_3   Diptera   Diptera   Large_flieROF       1
36        Mosca_3   Diptera   Diptera   Large_flieTVUF      1
16        Mosca_3   Diptera   Diptera   Large_flieTVUH      1
37        Mosca_7   Diptera   Diptera   Large_flieTVUF      1
38        Mosca_7   Diptera   Diptera   Large_flieTVUF      1
1         Mosca_7   Diptera   Diptera   Large_flieTVUH      1
38        Mosca_7   Diptera   Diptera   Large_flieTVUH      5
34        Mosca_8   Diptera   Diptera   Large_flieTVUF      1
19        Mosca_9   Diptera   Diptera   Large_flieECH       1
29        Mosca_9   Diptera   Diptera   Large_flieECH       1
2         Mosca_9   Diptera   Diptera   Large_flieROF       4
19        Mosca_9   Diptera   Diptera   Large_flieROF       2
20        Mosca_9   Diptera   Diptera   Large_flieROF       1
30        Mosca_9   Diptera   Diptera   Large_flieTVUF      1
19        Mosca_mitjDiptera   Diptera   Large_flieTVUF      1
35        Mosca_mitjDiptera   Diptera   Large_flieTVUF      1
17        Mosca_mitjDiptera   Diptera   Large_flieTVUH      1
35        Mosca_normDiptera   Diptera   Large_flieTVUF      1
40        Mosca_poc_Diptera   Diptera   Large_flieROF       1
19        Mosca_primDiptera   Diptera   Large_flieROF       1
19        Mosca_taquDiptera   Diptera   Large_flieEFL       1
35        Musca_1   Diptera   Diptera   Large_flieTVUF      1
